dataset_id,gate,actual,predicted,count
m2_activity_pre_1d_external,activity_gate,0,0,30
m2_activity_pre_1d_external,activity_gate,0,1,0
m2_activity_pre_1d_external,activity_gate,1,0,0
m2_activity_pre_1d_external,activity_gate,1,1,27
m2_fault_internal_efd_possible_sensitivity,fault_pre_event_gate,0,0,8
m2_fault_internal_efd_possible_sensitivity,fault_pre_event_gate,0,1,6
m2_fault_internal_efd_possible_sensitivity,fault_pre_event_gate,1,0,9
m2_fault_internal_efd_possible_sensitivity,fault_pre_event_gate,1,1,16
m2_fault_no_overlap_external,fault_gate,0,0,28
m2_fault_no_overlap_external,fault_gate,0,1,2
m2_fault_no_overlap_external,fault_gate,1,0,9
m2_fault_no_overlap_external,fault_gate,1,1,36
m2_normal_vs_efd_possible_external,fault_pre_event_gate,0,0,12
m2_normal_vs_efd_possible_external,fault_pre_event_gate,0,1,18
m2_normal_vs_efd_possible_external,fault_pre_event_gate,1,0,9
m2_normal_vs_efd_possible_external,fault_pre_event_gate,1,1,16
m2_task_post_1d_external,task_gate,0,0,30
m2_task_post_1d_external,task_gate,0,1,0
m2_task_post_1d_external,task_gate,1,0,0
m2_task_post_1d_external,task_gate,1,1,42
