field_name,type,plain_korean_meaning,source,required
sample_id,string,상태카드 대상 window 또는 event ID,runtime/window input,True
data_scope,string,"M1 내부, M1↔M2, XAI4HEAT 중 출처 구분",validation layer,True
substation_id,string,기계실 또는 외부 SCADA 파일 ID,input metadata,True
window_start,datetime,센서 feature 계산 window 시작,feature window,False
window_end,datetime,센서 feature 계산 window 끝,feature window,False
primary_state,string,최종 상태 normal/fault/task/activity/review_required,conflict resolver,True
secondary_tags,string,동시에 켜진 보조 gate 목록,conflict resolver,False
fault_detected,boolean,fault gate 통과 여부,RandomForest fault gate,True
task_detected,boolean,task gate 통과 여부,RandomForest task gate,True
activity_detected,boolean,activity gate 통과 여부,RandomForest activity gate,True
pre_event_detected,string,fault branch에서 조기탐지 gate 통과 여부 또는 불가 사유,fault pre_event gate,True
risk_probability,float,fault pre_event 위험 확률,Logistic/standard candidate,False
fault_group,string,고장군,fault taxonomy,False
leadtime_label,string,고장군 stable crossing 리드타임 등급,29 lead-time audit,False
priority_score,float,출동 우선순위 정책 점수,30 priority policy,False
priority_tier,string,high/medium/low/monitor,30 priority policy,False
review_flag,boolean,수동 검토 필요 여부,resolver/metadata,True
why_reason,string,사람이 읽는 판정 이유,runtime explanation,True
label_metric_available,boolean,이 데이터에서 성능지표 계산 가능 여부,validation layer,True
validation_level,string,performance/runtime/proxy/not_available 구분,validation layer,True
