source_id,canonical_event_key,known_class,substation_id,source_event_id,disturbance_row_id,fault_probability,fault_pred,task_context_probability,task_context_pred,activity_candidate_probability,activity_candidate_pred,activity_pre_probability,activity_pre_pred,activity_post_probability,activity_post_pred,final_operational_label,supporting_context_tags,policy_reason,review_required,fault_boundary_near,signal_conflict,window_policy,window_start,window_end,coverage_rate,hard_normal_tag
normal_0021,normal_0021,normal,1,21.0,,0.2369115035937823,0.0,0.030035870847297,0.0,0.06661451959241,0,0.0610615255346538,0.0,0.06661451959241,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2019-12-01 00:00:00,2019-12-08 00:00:00,1.0,
normal_0028,normal_0028,normal,7,28.0,,0.7930392074662425,1.0,0.1588224491063304,0.0,0.0521793745496409,0,0.0441416062801932,0.0,0.0521793745496409,0.0,predictive_fault_risk,fault_pred,fault gate is positive; context tags are secondary if present.,False,False,False,normal_event_7d,2019-01-01 10:29:00,2019-01-08 10:29:00,1.0,
normal_0031,normal_0031,normal,3,31.0,,0.2257346244840423,0.0,0.0709783712079964,0.0,0.0838005922158278,0,0.0523274877408484,0.0,0.0838005922158278,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2019-09-01 00:00:00,2019-09-08 00:00:00,1.0,
normal_0033,normal_0033,normal,3,33.0,,0.4452862960236297,0.0,0.0762814311007973,0.0,0.0375307416952153,0,0.0375307416952153,0.0,0.0183319400905607,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2019-01-11 00:00:00,2019-01-18 00:00:00,1.0,
normal_0043,normal_0043,normal,25,43.0,,0.4019487521466424,0.0,0.3059970165227753,0.0,0.1945559436658574,0,0.1858688060290044,0.0,0.1945559436658574,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2020-04-05 00:00:00,2020-04-12 00:00:00,1.0,
normal_0055,normal_0055,normal,23,55.0,,0.3283779852227961,0.0,0.0661320348455863,0.0,0.0677274113282177,0,0.0677274113282177,0.0,0.0604081373483764,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2017-10-06 00:00:00,2017-10-13 00:00:00,1.0,
normal_0004,normal_0004,normal,15,4.0,,0.3785876992772649,0.0,0.034891223155929,0.0,0.0893503505243772,0,0.0893503505243772,0.0,0.030676156710038,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2019-03-01 00:00:00,2019-03-08 00:00:00,1.0,
normal_0012,normal_0012,normal,19,12.0,,0.2365932939655999,0.0,0.1585477162710557,0.0,0.1077859451865847,0,0.0971406135539911,0.0,0.1077859451865847,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2017-09-30 00:00:00,2017-10-07 00:00:00,1.0,
normal_0018,normal_0018,normal,16,18.0,,0.495512291947886,0.0,0.1717137617708019,0.0,0.1557670524151311,0,0.1557670524151311,0.0,0.0798346844363104,0.0,normal_or_monitor,,no selected gate/context signal is positive.,True,True,False,normal_event_7d,2018-11-30 00:00:00,2018-12-07 00:00:00,1.0,
normal_0025,normal_0025,normal,20,25.0,,0.1794493985904437,0.0,0.1147650794888388,0.0,0.1328192283048387,0,0.1328192283048387,0.0,0.0966790576928966,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2017-01-31 00:00:00,2017-02-07 00:00:00,1.0,
normal_0030,normal_0030,normal,16,30.0,,0.1436509445013642,0.0,0.1039401318362103,0.0,0.1123907647432904,0,0.1123907647432904,0.0,0.1070740580397838,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2018-02-28 00:00:00,2018-03-07 00:00:00,1.0,
normal_0039,normal_0039,normal,15,39.0,,0.1325349429289418,0.0,0.1804989434480932,0.0,0.2875437845692015,0,0.2875437845692015,0.0,0.1597483833368427,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2018-09-30 00:00:00,2018-10-07 00:00:00,1.0,
normal_0051,normal_0051,normal,20,51.0,,0.3261853029913081,0.0,0.0689452174275027,0.0,0.1302580708917677,0,0.1302580708917677,0.0,0.1077029846953945,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2020-04-01 00:00:00,2020-04-08 00:00:00,1.0,
normal_0066,normal_0066,normal,19,66.0,,0.1769469326171316,0.0,0.1427454988387135,0.0,0.1683010438372155,0,0.1683010438372155,0.0,0.0975862111684744,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2017-06-14 00:00:00,2017-06-21 00:00:00,1.0,
normal_0002,normal_0002,normal,9,2.0,,0.5610432724287007,1.0,0.2310720807738128,0.0,0.1112340594164362,0,0.0932578016792893,0.0,0.1112340594164362,0.0,predictive_fault_risk,fault_pred,fault gate is positive; context tags are secondary if present.,False,False,False,normal_event_7d,2019-01-02 00:00:00,2019-01-09 00:00:00,1.0,
normal_0008,normal_0008,normal,6,8.0,,0.159144001320884,0.0,0.1832137196311024,0.0,0.2067321494611624,0,0.1206795109030465,0.0,0.2067321494611624,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2020-06-02 00:00:00,2020-06-09 00:00:00,1.0,
normal_0016,normal_0016,normal,17,16.0,,0.6750644231440803,1.0,0.0880927674233054,0.0,0.0570960164206009,0,0.0570960164206009,0.0,0.0397819137017061,0.0,predictive_fault_risk,fault_pred,fault gate is positive; context tags are secondary if present.,False,False,False,normal_event_7d,2017-10-15 00:00:00,2017-10-22 00:00:00,1.0,
normal_0019,normal_0019,normal,8,19.0,,0.7113840972792242,1.0,0.1500466375555041,0.0,0.1440690325945554,0,0.1440690325945554,0.0,0.1342670916814035,0.0,predictive_fault_risk,fault_pred,fault gate is positive; context tags are secondary if present.,False,False,False,normal_event_7d,2018-02-01 00:00:00,2018-02-08 00:00:00,1.0,review_required_normal
normal_0022,normal_0022,normal,5,22.0,,0.4408660046914749,0.0,0.1093127383106035,0.0,0.1217927743795617,0,0.1217927743795617,0.0,0.0918988936251942,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2017-09-13 00:00:00,2017-09-20 00:00:00,1.0,
normal_0050,normal_0050,normal,17,50.0,,0.1744468666688567,0.0,0.0227578921078921,0.0,0.0485893213990577,0,0.0485893213990577,0.0,0.0359806974170133,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2016-11-09 00:00:00,2016-11-16 00:00:00,1.0,
normal_0058,normal_0058,normal,5,58.0,,0.3215009370587572,0.0,0.1381125148247082,0.0,0.0487848856656327,0,0.0487848856656327,0.0,0.0477502489844988,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2018-02-28 00:00:00,2018-03-07 00:00:00,1.0,
normal_0017,normal_0017,normal,2,17.0,,0.1918271037863106,0.0,0.1432655379267448,0.0,0.2015019553535077,0,0.1271954902620604,0.0,0.2015019553535077,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2018-02-27 00:00:00,2018-03-06 00:00:00,1.0,
normal_0027,normal_0027,normal,12,27.0,,0.670187162902052,1.0,0.2436264581033556,0.0,0.0914895002027109,0,0.0823191294631027,0.0,0.0914895002027109,0.0,predictive_fault_risk,fault_pred,fault gate is positive; context tags are secondary if present.,False,False,False,normal_event_7d,2015-06-24 13:34:00,2015-07-01 13:34:00,1.0,
normal_0035,normal_0035,normal,11,35.0,,0.2100505320533173,0.0,0.0502024315654284,0.0,0.0886546227224089,0,0.0886546227224089,0.0,0.0766194309371417,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2017-10-31 00:00:00,2017-11-07 00:00:00,1.0,hard_normal_metadata
normal_0041,normal_0041,normal,2,41.0,,0.3593337028931586,0.0,0.0582049461247314,0.0,0.0503735808735808,0,0.0486638721549587,0.0,0.0503735808735808,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2016-09-16 00:00:00,2016-09-23 00:00:00,1.0,
normal_0048,normal_0048,normal,11,48.0,,0.3083811158305858,0.0,0.0501668078226901,0.0,0.0981980902078155,0,0.0710089036951434,0.0,0.0981980902078155,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2016-09-30 00:00:00,2016-10-07 00:00:00,1.0,hard_normal_metadata
normal_0056,normal_0056,normal,2,56.0,,0.4020243747994867,0.0,0.0945628188901764,0.0,0.1149131382153441,0,0.0481295957391033,0.0,0.1149131382153441,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2018-11-29 00:00:00,2018-12-06 00:00:00,1.0,
normal_0068,normal_0068,normal,13,68.0,,0.6978091200094073,1.0,0.1138786534148963,0.0,0.0889015051657243,0,0.0842056642014825,0.0,0.0889015051657243,0.0,predictive_fault_risk,fault_pred,fault gate is positive; context tags are secondary if present.,False,False,False,normal_event_7d,2019-12-20 00:00:00,2019-12-27 00:00:00,1.0,review_required_normal
normal_0014,normal_0014,normal,26,14.0,,0.2904429770077233,0.0,0.1543641899954691,0.0,0.1293949219333221,0,0.1293949219333221,0.0,0.1089256663501062,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2019-12-08 00:00:00,2019-12-15 00:00:00,1.0,
normal_0026,normal_0026,normal,4,26.0,,0.5781702508581785,1.0,0.1055857737503412,0.0,0.0206803519061583,0,0.0206803519061583,0.0,0.0204220779220779,0.0,predictive_fault_risk,fault_pred,fault gate is positive; context tags are secondary if present.,False,False,False,normal_event_7d,2018-02-19 00:00:00,2018-02-26 00:00:00,1.0,
normal_0042,normal_0042,normal,22,42.0,,0.2301823648476973,0.0,0.107978317947968,0.0,0.1123675099302972,0,0.0726643012331198,0.0,0.1123675099302972,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2019-11-01 00:00:00,2019-11-08 00:00:00,1.0,
normal_0046,normal_0046,normal,4,46.0,,0.2822635653604752,0.0,0.1539637422277746,0.0,0.1788029981732645,0,0.1086298798845051,0.0,0.1788029981732645,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2018-06-19 00:00:00,2018-06-26 00:00:00,1.0,
normal_0054,normal_0054,normal,22,54.0,,0.2518501855265896,0.0,0.1288157311198689,0.0,0.1255144378666183,0,0.1255144378666183,0.0,0.1211808171467411,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2020-03-14 00:00:00,2020-03-21 00:00:00,1.0,
normal_0059,normal_0059,normal,22,59.0,,0.4632084519799218,0.0,0.2639491093549154,0.0,0.2367665673900421,0,0.1863059781540173,0.0,0.2367665673900421,0.0,normal_or_monitor,,no selected gate/context signal is positive.,True,True,False,normal_event_7d,2019-01-31 00:00:00,2019-02-07 00:00:00,1.0,
normal_0061,normal_0061,normal,14,61.0,,0.3812604739693759,0.0,0.1140819469284964,0.0,0.0970869172036843,0,0.0970869172036843,0.0,0.0338171404978226,0.0,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,normal_event_7d,2019-12-05 00:00:00,2019-12-12 00:00:00,1.0,
disturbance_0003,disturbance_0003,fault,3,,3.0,0.5350059235071541,1.0,,,,0,,,,,predictive_fault_risk,fault_pred,fault gate is positive; context tags are secondary if present.,True,True,False,fault_pre_7d,2015-12-02 13:48:00,2015-12-09 13:48:00,1.0,
disturbance_0005,disturbance_0005,fault,3,,5.0,0.7872271070321188,1.0,,,,0,,,,,predictive_fault_risk,fault_pred,fault gate is positive; context tags are secondary if present.,False,False,False,fault_pre_7d,2016-10-24 14:18:00,2016-10-31 14:18:00,1.0,
disturbance_0006,disturbance_0006,fault,3,,6.0,0.3088963517078588,0.0,,,,0,,,,,normal_or_monitor,,no selected gate/context signal is positive.,False,False,False,fault_pre_7d,2016-11-08 22:50:00,2016-11-15 22:50:00,1.0,
