check,pass,evidence
M1 source prefix only,True,manufacturer 1
fixed eval 49 rows retained,True,49
normal 35 retained,True,35
positive 14 retained,True,14
27 recipe metrics reproduced,True,"ba=0.850000, recall=0.785714, fpr=0.085714"
saved metric recompute matches,True,ba=0.850000
compact13 only,True,13
feature leakage terms absent,True,compact13 feature names checked
group CV overlap zero,True,0
rolling window end equals anchor,True,window_end == anchor_time
coverage and sample count recorded,True,min_coverage=0.724206
special fault flags retained,True,20/34/69/67 flags checked
all fault labels mapped once,True,14
priority formula present,True,100*(0.55*risk_probability+0.30*leadtime_urgency+0.15*group_weight)
forbidden manufacturer strings absent,True,generated core CSV checked
